movieId,title,genres,year,genres_list,genre_str,imdbId,tmdbId,movie_encoded,avg_rating,num_ratings,rating_std,tags_combined,content
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995.0,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",Adventure Animation Children Comedy Fantasy,114709,862.0,0,3.9209302325581397,215,0.8348591407114044,pixar pixar fun,Adventure Animation Children Comedy Fantasy pixar pixar fun
2,Jumanji (1995),Adventure|Children|Fantasy,1995.0,"['Adventure', 'Children', 'Fantasy']",Adventure Children Fantasy,113497,8844.0,1,3.4318181818181817,110,0.8817134921476453,fantasy magic board game robin williams game,Adventure Children Fantasy fantasy magic board game robin williams game
3,Grumpier Old Men (1995),Comedy|Romance,1995.0,"['Comedy', 'Romance']",Comedy Romance,113228,15602.0,2,3.2596153846153846,52,1.0548226531330254,moldy old,Comedy Romance moldy old
4,Waiting to Exhale (1995),Comedy|Drama|Romance,1995.0,"['Comedy', 'Drama', 'Romance']",Comedy Drama Romance,114885,31357.0,3,2.357142857142857,7,0.8521681032463467,,Comedy Drama Romance 
5,Father of the Bride Part II (1995),Comedy,1995.0,['Comedy'],Comedy,113041,11862.0,4,3.0714285714285716,49,0.9071475440448852,pregnancy remake,Comedy pregnancy remake
6,Heat (1995),Action|Crime|Thriller,1995.0,"['Action', 'Crime', 'Thriller']",Action Crime Thriller,113277,949.0,5,3.946078431372549,102,0.8172244221533347,,Action Crime Thriller 
7,Sabrina (1995),Comedy|Romance,1995.0,"['Comedy', 'Romance']",Comedy Romance,114319,11860.0,6,3.185185185185185,54,0.9775609631923282,remake,Comedy Romance remake
8,Tom and Huck (1995),Adventure|Children,1995.0,"['Adventure', 'Children']",Adventure Children,112302,45325.0,7,2.875,8,1.1259916264596033,,Adventure Children 
9,Sudden Death (1995),Action,1995.0,['Action'],Action,114576,9091.0,8,3.125,16,0.9746794344808964,,Action 
10,GoldenEye (1995),Action|Adventure|Thriller,1995.0,"['Action', 'Adventure', 'Thriller']",Action Adventure Thriller,113189,710.0,9,3.496212121212121,132,0.8593806844280277,,Action Adventure Thriller 
11,"American President, The (1995)",Comedy|Drama|Romance,1995.0,"['Comedy', 'Drama', 'Romance']",Comedy Drama Romance,112346,9087.0,10,3.6714285714285713,70,0.9004254802862112,politics president,Comedy Drama Romance politics president
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995.0,"['Comedy', 'Horror']",Comedy Horror,112896,12110.0,11,2.4210526315789473,19,1.2501461902817699,,Comedy Horror 
13,Balto (1995),Adventure|Animation|Children,1995.0,"['Adventure', 'Animation', 'Children']",Adventure Animation Children,112453,21032.0,12,3.125,8,0.6408699444616557,,Adventure Animation Children 
14,Nixon (1995),Drama,1995.0,['Drama'],Drama,113987,10858.0,13,3.8333333333333335,18,0.7071067811865476,politics president,Drama politics president
15,Cutthroat Island (1995),Action|Adventure|Romance,1995.0,"['Action', 'Adventure', 'Romance']",Action Adventure Romance,112760,1408.0,14,3.0,13,1.20761472884912,,Action Adventure Romance 
16,Casino (1995),Crime|Drama,1995.0,"['Crime', 'Drama']",Crime Drama,112641,524.0,15,3.926829268292683,82,0.8858348619181693,mafia,Crime Drama mafia
17,Sense and Sensibility (1995),Drama|Romance,1995.0,"['Drama', 'Romance']",Drama Romance,114388,4584.0,16,3.7761194029850746,67,1.1457549518851469,jane austen,Drama Romance jane austen
18,Four Rooms (1995),Comedy,1995.0,['Comedy'],Comedy,113101,5.0,17,3.7,20,0.9090191359227177,,Comedy 
19,Ace Ventura: When Nature Calls (1995),Comedy,1995.0,['Comedy'],Comedy,112281,9273.0,18,2.727272727272727,88,1.0637957708161232,,Comedy 
